"Afghanistan ","Afghanistan","Kaboul","Oui","Asie","Afghane"
"Afrique du Sud ","South Africa","Pretoria","Oui","Afrique","Sud-africaine"
"Albanie ","Albania","Tirana","Oui","Europe","Albanaise"
"Algérie ","Algeria","Alger","Oui","Afrique","Algérienne"
"Allemagne ","Germany","Berlin","Oui","Europe","Allemande"
"Andorre ","Andorra","Andorre-la-Vieille","Oui","Europe","Andorrane"
"Angola ","Angola","Luanda","Oui","Afrique","Angolaise"
"Antigua-et-Barbuda","Antigua and Barbuda","Saint John's","Oui","Amérique du Nord","Antiguaise et barbudienne"
"Arabie saoudite ","Saudi Arabia","Riyad","Oui","Asie","Saoudienne"
"Argentine ","Argentina","Buenos Aires","Oui","Amérique du Sud","Argentine"
"Arménie ","Armenia","Erevan","Oui","Asie","Arménienne"
"Australie ","Australia","Canberra","Oui","Océanie","Australienne"
"Autriche ","Austria","Vienne","Oui","Europe","Autrichienne"
"Azerbaïdjan ","Azerbaijan","Bakou","Oui","Asie","Azerbaïdjanaise"
"Bahamas ","Bahamas ","Nassau","Oui","Amérique du Nord","Bahamienne"
"Bahreïn","Bahrain","Manama","Oui","Asie","Bahreinienne"
"Bangladesh ","Bangladesh","Dacca","Oui","Asie","Bangladaise"
"Barbade ","Barbados","Bridgetown","Oui","Amérique du Nord","Barbadienne"
"Bélarus ","Belarus","Minsk","Oui","Europe","Biélorusse"
"Belgique ","Belgium","Bruxelles","Oui","Europe","Belge"
"Belize ","Belize","Belmopan","Oui","Amérique du Nord","Bélizienne"
"Bénin ","Benin","Porto-Novo","Oui","Afrique","Béninoise"
"Bhoutan ","Bhutan","Thimbu","Oui","Asie","Bhoutanaise"
"Bolivie (État plurinational de)","Bolivia (Plurinational State of)","Sucre","Oui","Amérique du Sud","Bolivienne"
"Bosnie-Herzégovine ","Bosnia and Herzegovina","Sarajevo","Oui","Europe","Bosnienne"
"Botswana ","Botswana","Gaborone","Oui","Afrique","Botswanaise"
"Brésil ","Brazil","Brasilia","Oui","Amérique du Sud","Brésilienne"
"Brunéi Darussalam ","Brunei Darussalam","Bandar Seri Begawan","Oui","Asie","Bruneienne"
"Bulgarie ","Bulgaria","Sofia","Oui","Europe","Bulgare"
"Burkina Faso ","Burkina Faso","Ouagadougou","Oui","Afrique","Burkinabé"
"Burundi ","Burundi","Bujumbura","Oui","Afrique","Burundaise"
"Cabo Verde","Cabo Verde","Praia","Oui","Afrique","Cap-verdienne"
"Cambodge ","Cambodia","Phnom Penh","Oui","Asie","Cambodgienne"
"Cameroun ","Cameroon","Yaoundé","Oui","Afrique","Camerounaise"
"Canada ","Canada","Ottawa","Oui","Amérique du Nord","Canadienne"
"Chili ","Chile","Santiago","Oui","Amérique du Sud","Chilienne"
"Chine ","China","Pékin","Oui","Asie","Chinoise"
"Chypre","Cyprus","Nicosie","Oui","Asie","Chypriote"
"Colombie ","Colombia","Bogota","Oui","Amérique du Sud","Colombienne"
"Comores ","Comoros ","Moroni","Oui","Afrique","Comorienne"
"Congo ","Congo ","Brazzaville","Oui","Afrique","Congolaise"
"Congo (la République démocratique du)","Congo (the Democratic Republic of the)","Kinshasa","Oui","Afrique","Congolaise (Kinshasa)"
"Corée (la République de)","Korea (the Republic of)","Séoul","Oui","Asie","Sud-coréenne"
"Corée (la République populaire démocratique de)","Korea (the Democratic People's Republic of)","Pyongyang","Oui","Asie","Nord-coréenne"
"Costa Rica ","Costa Rica","San José","Oui","Amérique du Nord","Costaricaine"
"Côte d'Ivoire ","Côte d'Ivoire","Yamoussoukro","Oui","Afrique","Ivoirienne"
"Croatie ","Croatia","Zagreb","Oui","Europe","Croate"
"Cuba","Cuba","La Havane","Oui","Amérique du Nord","Cubaine"
"Danemark ","Denmark","Copenhague","Oui","Europe","Danoise"
"Djibouti","Djibouti","Djibouti","Oui","Afrique","Djiboutienne"
"dominicaine (la République)","Dominican Republic ","Saint-Domingue","Oui","Amérique du Nord","Dominicaine"
"Dominique ","Dominica","Roseau","Oui","Amérique du Nord","Dominiquaise"
"Égypte ","Egypt","Le Caire","Oui","Afrique","Egyptienne"
"El Salvador","El Salvador","San Salvador","Oui","Amérique du Nord","Salvadorienne"
"Émirats arabes unis ","United Arab Emirates ","Abu Dhabi","Oui","Asie","Emirienne"
"Équateur ","Ecuador","Quito","Oui","Amérique du Sud","Equatorienne"
"Érythrée ","Eritrea","Asmara","Oui","Afrique","Erythréenne"
"Espagne ","Spain","Madrid","Oui","Europe","Espagnole"
"Estonie ","Estonia","Tallinn","Oui","Europe","Estonienne"
"Eswatini ","Eswatini","Mbabane","Oui","Afrique",""
"États-Unis d'Amérique ","United States of America ","Washington","Oui","Amérique du Nord","Américaine"
"Éthiopie ","Ethiopia","Addis-Abeba","Oui","Afrique","Ethiopienne"
